City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,thompson,55.7435,-97.8558,297.24,41,40,4.12,CA,1692652579
109,mersa matruh,31.3525,27.2453,299.15,76,0,3.05,EG,1692652871
110,port shepstone,-30.7414,30.455,291.08,74,0,3.14,ZA,1692652552
111,dryden,49.7833,-92.7503,293.31,56,100,2.06,CA,1692652605
112,colonia,50.9333,6.95,294.79,75,0,2.06,DE,1692652874
113,punta arenas,-53.15,-70.9167,276.21,93,100,1.54,CL,1692652652
114,muynoq,43.7683,59.0214,299.51,39,1,3.17,UZ,1692652876
115,walvis bay,-22.9575,14.5053,286.53,76,0,5.53,NA,1692652665
116,st. john's,47.5649,-52.7093,294.8,81,100,6.69,CA,1692652343
117,kone,-21.0595,164.8658,293.43,63,54,2.54,NC,1692652603
118,bushehr,28.9684,50.8385,304.2,70,4,0.0,IR,1692652809
119,kolonia town,6.964,158.206,301.15,89,100,0.0,FM,1692652881
120,tiksi,71.6872,128.8694,276.5,99,100,4.8,RU,1692652616
121,hamilton,39.1834,-84.5333,308.58,59,0,2.06,US,1692652486
122,tura,25.5198,90.2201,296.89,93,100,1.95,IN,1692652580
123,ta`u,-14.2336,-169.5144,300.03,70,78,9.44,AS,1692652885
124,bontang,0.1333,117.5,297.58,91,83,2.6,ID,1692652886
125,mar del plata,-38.0023,-57.5575,283.76,86,0,7.6,AR,1692652805
126,toccoa,34.5773,-83.3324,306.83,46,0,1.54,US,1692652888
127,paita,-5.0892,-81.1144,296.15,76,64,7.57,PE,1692652889
128,nuuk,64.1835,-51.7216,288.49,47,75,6.17,GL,1692652567
129,ilulissat,69.2167,-51.1,289.16,44,75,8.23,GL,1692652367
130,gulariya,28.2333,81.3333,298.96,92,100,3.96,NP,1692652892
131,palmer,42.1584,-72.3287,301.93,54,75,1.54,US,1692652694
132,gaiman,-43.2897,-65.4929,284.45,51,91,8.09,AR,1692652894
133,jamestown,42.097,-79.2353,300.11,70,40,4.12,US,1692652673
134,lerwick,60.1545,-1.1494,287.15,94,100,6.44,GB,1692652668
135,praia da vitoria,38.7333,-27.0667,294.68,73,40,5.37,PT,1692652582
136,kenai,60.5544,-151.2583,289.2,86,100,3.6,US,1692652665
